game_id,lower_bound,upper_bound,gap,bonus_size,points_rule,bonus_rule,action_space_size,total_equilibria_in_game,pure_equilibria_in_game,mixed_equilibria_in_game,symmetric_equilibria_in_game,equilibrium_id,equilibrium_type,is_symmetric,is_pure,is_mixed,row_strategy,col_strategy,row_action_probs,col_action_probs,analysis_success,error_message,selection_stage,selection_reason,payoff_dominant,risk_dominant,strongly_dominant,total_components,surviving_components,row_support_size,col_support_size,row_support_proportion,col_support_proportion,max_support_size,min_support_size
911714,11,26,2,16,normal_minus_two,sum_odd,16,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46875, 0.53125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46875, 0.53125]","[[25, 0.46875], [26, 0.53125]]","[[25, 0.46875], [26, 0.53125]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.125,0.125,2,2
919592,11,28,3,8,normal_minus_two,unequal,18,7,2,5,1,7.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.1875, 0.3125, 0.4375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.1875, 0.3125, 0.4375]","[[25, 0.0625], [26, 0.1875], [27, 0.3125], [28, 0.4375]]","[[25, 0.0625], [26, 0.1875], [27, 0.3125], [28, 0.4375]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,4,4,0.2222222222222222,0.2222222222222222,4,4
920665,11,28,2,12,normal_plus_two,sum_even,18,3,2,1,3,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[[27, 1.0]]","[[27, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.05555555555555555,0.05555555555555555,1,1
928449,12,16,3,4,two_less_max_costless,gap_lower,5,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.0, 0.5, 0.0, 0.0, 0.5]","[0.0, 0.5, 0.0, 0.0, 0.5]","[[13, 0.5], [16, 0.5]]","[[13, 0.5], [16, 0.5]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.4,0.4,2,2
929323,12,16,1,7,normal_plus_two,equal,5,23,5,18,23,1.0,pure_symmetric,True,True,False,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[[12, 1.0]]","[[12, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.2,0.2,1,1
931299,12,16,2,14,two_less_max_costless,less_upper,5,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[[16, 1.0]]","[[16, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.2,0.2,1,1
937529,12,17,1,19,normal_plus_one,unequal,6,11,2,9,1,11.0,mixed_symmetric,True,False,True,"[0.03508771929824561, 0.08771929824561403, 0.14035087719298245, 0.19298245614035087, 0.24561403508771928, 0.2982456140350877]","[0.03508771929824561, 0.08771929824561403, 0.14035087719298245, 0.19298245614035087, 0.24561403508771928, 0.2982456140350877]","[[12, 0.03508771929824561], [13, 0.08771929824561403], [14, 0.14035087719298245], [15, 0.19298245614035087], [16, 0.24561403508771928], [17, 0.2982456140350877]]","[[12, 0.03508771929824561], [13, 0.08771929824561403], [14, 0.14035087719298245], [15, 0.19298245614035087], [16, 0.24561403508771928], [17, 0.2982456140350877]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,6,6,1.0,1.0,6,6
941287,12,18,3,14,normal_plus_two,sum_odd,7,3,2,1,1,3.0,mixed_symmetric,True,False,True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4642857142857143, 0.5357142857142857]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.4642857142857143, 0.5357142857142857]","[[17, 0.4642857142857143], [18, 0.5357142857142857]]","[[17, 0.4642857142857143], [18, 0.5357142857142857]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,2,2,0.2857142857142857,0.2857142857142857,2,2
942960,12,19,2,2,normal_minus_one,gap_lower,8,3,3,0,1,3.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[19, 1.0]]","[[19, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.125,0.125,1,1
943453,12,19,4,3,normal_plus_two,less_upper,8,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[19, 1.0]]","[[19, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.125,0.125,1,1
947775,12,20,4,1,two_less_max_costless,gap_absolute,9,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[20, 1.0]]","[[20, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.1111111111111111,0.1111111111111111,1,1
954301,12,21,4,6,normal_plus_two,coordinate_low,10,1,1,0,1,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[[21, 1.0]]","[[21, 1.0]]",True,,unique_equilibrium,Only Nash equilibrium found,False,False,False,1,1,1,1,0.1,0.1,1,1
956659,12,21,1,15,normal_plus_two,coordinate_low,10,3,2,1,3,1.0,pure_symmetric,True,True,False,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[12, 1.0]]","[[12, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.1,0.1,1,1
960005,12,22,3,9,normal_plus_one,sum_even,11,3,2,1,3,1.0,pure_symmetric,True,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[[21, 1.0]]","[[21, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.09090909090909091,0.09090909090909091,1,1
965643,12,23,2,11,two_less_max_costless,coordinate_low,12,3,2,1,3,1.0,pure_symmetric,True,True,False,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[12, 1.0]]","[[12, 1.0]]",True,,tracing_procedure,Selected symmetric equilibrium in final component,False,False,False,1,1,1,1,0.08333333333333333,0.08333333333333333,1,1
